GEOID,intersectionality_group,intersectionality_group_id,tangled_properties,at_risk_properties,ratio,tangled_net_equity,at_risk_net_equity,tangled_gross_positive_equity,at_risk_gross_positive_equity,tangled_gross_negative_equity,at_risk_gross_negative_equity,black_population_percentage,median_property_value_total,median_property_value_black,total_properties,total_population
24510010100,Contemporary advantage,2,6,8,0.75,1609063,2378117,1609063,2378117,,,7.1,395000,425000,1389,3035
24510010200,Contemporary advantage,2,9,4,2.25,2390709,747837,2390709,747837,,,4,375000,345000,1411,2858
24510010300,Contemporary advantage,2,4,5,0.8,999348,633188,999348,689567,,-56379,0,325000,325000,1008,2380
24510010400,Excluded from analysis,5,3,4,0.75,582048,903873,582048,903873,,,6.2,375000,445000,1473,2834
24510010500,Contemporary advantage,2,4,4,1,1096251,-69623318,1096251,637652,,-70260970,7.1,355000,325000,746,1888
24510020100,Contemporary advantage,2,2,4,0.5,507702,1033901,507702,1033901,,,11.7,335000,375000,804,1636
24510020200,Contemporary advantage,2,3,4,0.75,785147,775842,785147,775842,,,17.5,355000,355000,741,1678
24510020300,Excluded from analysis,5,2,1,2,1857264,318653,1857264,318653,,,12.3,425000,455000,2152,3761
24510030100,Sustained disadvantage,4,1,2,0.5,195019,271015,195019,271015,,,72.6,305000,295000,1036,2386
24510030200,Contemporary advantage,2,4,8,0.5,1198931,2081536,1198931,2194376,,-112840,18.7,405000,345000,1145,2273
24510040100,Excluded from analysis,5,3,2,1.5,281678,242361,282020,242361,-342,,41.9,225000,235000,3084,5051
24510040200,Excluded from analysis,5,0,0,,,,,,,,60.8,,,261,984
24510060100,Contemporary advantage,2,11,3,3.6666666666666665,1398009,-32145,1442418,80593,-44409,-112738,43.2,255000,255000,916,2653
24510060200,Contemporary advantage,2,12,8,1.5,1684783,600113,1692938,645037,-8155,-44924,41.3,265000,265000,1083,3037
24510060300,Contemporary advantage,2,4,2,2,588121,334470,588121,334470,,,21.4,235000,215000,720,1881
24510060400,Contemporary advantage,2,0,3,0,,570001,,570001,,,40.6,275000,305000,797,1561
